,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,نام,نام خانوادگی,آدرس,جنسیت,معدل,مقطع تحصیلی,رشته تحصیلی,سن,مهارت,تجربه کاری(به سال)
0,0,0,0,0,علي,"ابوذر
",خيابان مسعود بخت آزاد (ارباب مهدي) . نبش خيابان امير فراهاني .,2.0,21,-1,"تکنولوژی تولیدات دامی
",51,"منشی  
",5
1,1,1,1,1,محمد,"جنتی
",شهرک شریعتی خ ما هان ک 22,1.0,16,فوق دیپلم,"زراعت و اصلاح نباتات
",27,"مهندس برق، الکترونیک، مخابرات
",7
2,2,2,2,2,مريم,"گل محمدی
",شهرک غرب - بلوار فرهزادی - خ حافظی - نبش دل شاد,0.0,21,سیکل,"مهندسی انرژی
",41,"کشاورز 
",3
3,3,3,3,3,مهدي,"شاملو
",مهراباد جنوبی خ واشقانی فراهانی نبش شامبولی غربی ملک در حال ساخت,-1.0,24,کارشناسی ارشد,"کاردرمانی
",53,"نویسنده  
",23
4,4,4,4,4,حسين,"خامنه‌ای
",ولنجک-انتهای خ 22- گلستان چهارم غربی- بیمارستان رامتین,1.0,24,فوق دیپلم,"باستان‌شناسی
",31,"مهندس پلیمر  
",10
5,5,5,5,5,عليرضا,"هاشمی رفسنجانی
",خ مقدس اردبیلی. خ ب .نبش کوچه هفتم.,2.0,20,کارشناسی ارشد,"تاریخ
",21,"سرایدار 
",2
6,6,6,6,6,محمدرضا,"محمدرضایی
",افسرسه - 15متری اول - خ25,0.0,24,فوق دیپلم,"رشته‌های هنر و زبان
",17," برنامه نویس 
",0
7,7,7,7,7,معصومه,"پیران
",وحدت اسلامی.مقدس خیابانی.,0.0,12,-1,"تاریخ
",53,"مهندس پزشکی  
",6
8,8,8,8,8,زينب,"حقیقی
",شهرری دولت اباد بلوار قدس,1.0,19,دیپلم,"بینایی‌سنجی
",28,"مربی مهد کودک  
",2
9,9,9,9,9,رضا,"راوندی
",دامپزشکی نرسیده به خ خوش,-1.0,25,کارشناسی,"مهندسی معدن
",24,"نقاش  
",1
10,10,10,10,10,اميرحسين,"کوشکی
",شهرک شریعتی خ ماهان داخل پارک شریعتی شیر ابخوری داخل زمین فوتبال,-1.0,17,کارشناسی,"علوم کامپیوتر
",48,"مهندس پلیمر  
",23
11,11,11,11,11,محمدحسين,"روحانی
",خیام جنویس - ک مهرابی,1.0,18,کارشناسی ارشد,"مدیریت جهان‌گردی
",54,"مهندسی کامپیوتر
",3
12,12,12,12,12,مرضيه,"شریعتمداری
",اتوبن آزادگان - بعد از ورزشگاه شهید کاظمی - قبل از جایگاه پم,-1.0,25,کاردانی,"علوم تغذیه
",23,"وکیل  
",10
13,13,13,13,13,ابوالفضل,"پازوکی
",قنات کوثر - خ مسجد کوثر,1.0,18,سیکل,"تربیت بدنی
",18,"راننده  
",3
14,14,14,14,14,حسن,"خوئینی‌ها
",نیاوران,0.0,20,کارشناسی ارشد,"کاردرمانی
",39,"نانوا  
",0
15,15,15,15,15,محسن,"مصباح‌زاده
",بزرگراه رسالت - بعد از چهار راه در دشت - داخل بن بست نخجیر,0.0,25,0,"موزه‌داری
",24,"کارگردان
",1
16,16,16,16,16,محمدمهدي,"رحمانیان
",خ وحدت اسلامی - کوچه طبرستان -,-1.0,19,دکترا,"کاردان فنی مکانیک
",17,"فروشنده  
",2
17,17,17,18,18,زهره,"رحماندوست
",خ ولیعصر (عج) ح فاصل زعفرانیه تاباغ فردوس-کنارانهار,-1.0,13,سیکل,,47,,18
18,18,18,19,19,ليلا,"گنجی
",خواجه کرمانی - شهید انور زاده -محسن هاشمی ک خالقی,-1.0,12,فوق دیپلم,"0
",16,"کارشناس دادگستری
",4
19,19,19,20,20,احمد,"شریعتی
",فلاح . میدام مقدم . خ شهسوار شمالی . کوچه محسنی زرین,0.0,12,فوق لیسانس,"مطالعات ارتباطی
",34,"ماما
",0
20,20,20,21,21,طاهره,"تابش
",خیابان پیروزی - خیابان تاجری - کوچه جزدره غربی - کوچه روشنی -,-1.0,14,دکترا,"پرستاری
",20,"پژوهشگر
",6
21,21,21,22,22,عباس,"زرشناس
",خ شیخ هادی,0.0,19,کارشناسی ارشد,"رشته‌های هنر و زبان
",50,,16
22,22,22,23,23,اعظم,"شیرمحمدی
",خیابان وحدت اسلامی کوچه طبرستان انتهای طبرستان,1.0,24,دکترا,"بهداشت مواد غذایی
",51,"مسئول بایگانی
",4
23,23,23,24,24,سميه,"شادمهر
",خ مطهری خ سر بداران  خ  افتخاریان,1.0,24,کاردانی,"پدافند جنگ‌های میکروبی
",37,"راننده  
",14
24,24,24,25,25,سعيد,"هاشمی
",خ پیروزی بلوار ابوذر نرسیده به پل دوم ک ناصری  حدود 8 متر پایین تراز دیوار درب ورودی دبیرستان دهخدا,-1.0,14,دکترا,"مهندسی بهداشت حرفه‌ای
",53,"کارشناس روابط عمومی  
",0
25,25,25,26,26,محمدعلي,"صانعی
",خاک سفید خ اله اکبر کوچه 216 شرقی  کوچه بیژنی حسن پور,1.0,15,فوق دیپلم,"صنایع دستی
",53,"اپتومتریست
",23
26,26,26,29,29,مرتضي,"عارف
",پیروزی انتهای دهقان ک شهیدی پور وسط کوچه,-1.0,15,سیکل,,53,"موزه داران
",20
27,27,27,30,30,ريحانه,"سلامت
",خ ولیعصر .,1.0,23,کارشناسی,"کارشناسی فرش
",26,"پلیس 
",10
28,28,28,31,31,نرگس,"شاه‌حسینی
",یاخچی اباد - خ تاجیک - خ حاتمی -,1.0,17,سیکل,,53,,3
29,29,29,33,33,خديجه,"خیابانی
",پاسگاه نعمت آباد - دولت خواه - برادران شکری - کوچه 36 -,-1.0,18,فوق دکترا,"مهندسی معماری
",17,"مهندس پزشکی  
",4
30,30,30,34,34,مجيد,"شیروانی
",بلوارارتش - خ شهید شاه مرادی,1.0,13,0,"علوم قضایی
",27,"آمارگران
",10
31,31,31,35,35,محمدجواد,"موحد
",یافت اباد - میدان معلم -مداعن - خ شهید اسمائیلی -,1.0,18,0,"رشته‌های تجربی
",42,"ماما
",19
32,32,32,37,37,مجتبي,"شرف
",میدان المپیک شهرک چشمه خیابان گلها,1.0,12,فوق دکترا,"کاردانی هواپیما
",41,"مهندس شیمی
",17
33,33,33,38,38,الهام,"شاه‌حسینی
",راه اهن خ انبار نفت نرسیده به زربافیان نبش ک حسینی,2.0,24,0,"0
",32,"تکنسین اتاق عمل 
",8
34,34,34,39,39,محمود,"رفیعی
",خانی آباد نو . خ لطیفی .محدوده,0.0,13,فوق دیپلم,"علوم تربیتی
",15,"قاضی 
",1
35,35,35,40,40,حميدرضا,"شرف
",صالح اباد غربی خ کلهر,2.0,24,دکترا,"مهندسی مدیریت اجرایی
",43,,2
36,36,36,41,41,اكرم,"صباغ
",حکیمیه. ابتدای خ گلریز.,2.0,23,کارشناسی,"علوم قضایی
",16,"بازیگر  
",2
37,37,37,43,43,جواد,"محدثی
",خ شهید رجائی ایستگاه بانک کوچه سعید هاجری بن بست صدیقی,2.0,13,فوق لیسانس,"مهندسی ماشین‌های کشاورزی
",28,"0
",9
38,38,38,45,45,راضيه,"عالی
",خروجی همت,1.0,22,فوق دکترا,"چاپ
",29,"پلیس 
",0
39,39,39,46,46,بتول,"هاشمی
",حکیمیه فاز 2 کوی دانشگاه خ بشارت ک گل نرگس,-1.0,12,لیسانس,"مهندسی مواد و طراحی صنایع غذایی
",21,,9
40,40,40,47,47,طيبه,"ابریشمی
",خ شادمان خ خوش رو ک سرابی,-1.0,13,دکترا,"مهندسی مواد و طراحی صنایع غذایی
",22,"منشی  
",9
41,41,41,48,48,محبوبه,"دری
",انتهای 17 شهریور پایین تر از تیر دو قلو,0.0,13,دکترا,"رشته‌های علوم انسانی
",43,"نویسنده  
",11
42,42,42,49,49,ابراهيم,"رسولی
",اتوبان همت . غرب به شرق . نرسیده به پل ستاری,1.0,23,دکترا,"ایمونولوژی
",43,"پیک موتوری  
",0
43,43,43,50,50,فائزه,"سروش
",م سپاه . ضلع غربی,-1.0,15,لیسانس,"پرورش زنبور عسل
",29,"-1
",3
44,44,44,51,51,اميرمحمد,"مصباح
",نازی اباد میدان بهشت 18 متری تختی فلکه اول تختی ابتدای کوچه بیست و دوم,1.0,21,کارشناسی,"مدیریت
",25,"نجاری
",3
45,45,45,52,52,محمدامين,"کمالی
",کیانشهر . خ صالحی . قبل از سرای محله کیانشهر جنوبی .,-1.0,13,دیپلم,"مددکاری اجتماعی
",53," برنامه نویس 
",9
46,46,46,53,53,عصمت,"شیروانی
",,0.0,19,0,"تکنسین پروتزهای دندانی
",26,"پلیس 
",8
47,47,47,55,55,سجاد,"جعفریان
",,0.0,18,فوق دکترا,"مهندسی بازرسی فنی
",30,"دادیار
",7
48,48,48,56,56,اميرعلي,"شریعتمداری
",خ شریعتی - خ معلم -,-1.0,18,کارشناسی,"فلسفه
",49,"-1
",22
49,49,49,58,58,كبري,"ایمانی
",اتوبان افسریه بعد از ورودی 20 متری افسریه,-1.0,21,0,"اعضای مصنوعی
",37,"کارمند اداری  
",16
50,50,50,59,59,امير,"صفوی
",امام زاده حسن -همایون شهر- خ خدایار حسنی -سرکوچه چهاردولی -,0.0,19,کاردانی,"پرورش زنبور عسل
",42,"دادیار
",8
51,51,51,60,60,مسعود,"تبریزی
",مترو صادقیه خ ولیعصر نبش ک سا یه,-1.0,13,دکترا,"مدیریت جهان‌گردی
",33,"ویزیتور
",3
52,52,52,61,61,سارا,"عارف
",خیابان ولیعصر کوچه صداقت کوچه عدل بن بست سوم جنوبی,0.0,18,0,"پرستاری
",34,"کارشناس بازرگانی داخلی و خارجی
",7
53,53,53,62,62,علي اكبر,"هامون
",خ معلم. نبش خ مرودشت .,0.0,15,فوق لیسانس,"مهندسی صنایع
",53,"خواننده
",0
54,54,54,63,63,فرزانه,"جنتی
",جمهوری تقاطع دوازدهم فروردین,2.0,15,کاردانی,"مدیریت و کمیسر دریایی
",36,"مهندس صنایع غذایی
",6
55,55,55,64,64,هادي,"همایون
",سه راه آذری - خ اردشیر - کوچه موسوی -,2.0,13,کاردانی,"-1
",20,"راننده  
",4
56,56,56,65,65,نجمه,"اشتری
",نارمک خ چمن غربی براتی خ جویبار و قاسم زاده,-1.0,22,ندارد,"مهندسی مکانیک
",48,"کارشناس سخت افزار  
",19
57,57,57,66,66,اكبر,"مجتبایی
",خ هنگام . خ 20 متری شمیران نو . اطراف میدان پاکدامن,-1.0,12,سیکل,"زمین‌شناسی
",19,"فروشنده  
",4
58,58,58,67,67,محمدحسن,"دیباج
",خ خاوران . خ ناصری . ک حمید عنایتی .,-1.0,15,دکترا,"ادبیات داستانی
",50,"مترجم
",3
59,59,59,68,68,مبينا,"روحانی
",بلوار کاوه  نانوای سنگک  ک  مهدیه,2.0,20,کارشناسی ارشد,"رشته‌های تجربی
",27,"کارشناس دادگستری
",3
60,60,60,69,69,علي اصغر,"روزبه
",شهر ری خ فداییان خ ارکیده,0.0,24,کارشناسی ارشد,"-1
",55,"مهندس شهرسازی
",3
61,61,61,71,71,احسان,"اشتری
",دیالمه - کوچه مقدم فر,1.0,21,دیپلم,"معماری داخلی
",47,"دندان پزشک  
",16
62,62,62,72,72,سمانه,"راوندی
",نعمت  اباد   شهرک  احمدیه  انتهای  خ  گلها   ضلع   جنوبی   بلوار   شقایق  پارک ایران  کودک,0.0,17,کاردانی,"سینما
",21,,8
63,63,63,73,73,مليحه,"شیرمحمدی
",اتوبان تند گویان - جنوب به شمال -بعد از خروجی بیمارستان امیرالمومنین  لاین وسط,0.0,24,سیکل,"مهندسی ایمنی
",17,"مهندس راه آهن 
",4
64,64,64,75,75,صغري,"حیاتی
",خیابان نبرد شمالی کوچه مرتضوی,1.0,25,کارشناسی,"ریاضیات و کاربردها
",41,,19
65,65,65,76,76,سيدعلي,"رحماندوست
",جمهوری نبش باستان جنوبی,0.0,21,کارشناسی,"مهندسی نفت
",21,"فروشنده  
",10
66,66,66,78,78,مائده,"لاچینی
",خ سهروردی جنوبی کوچه اسلامی,2.0,15,فوق دکترا,"مهندسی شهرسازی
",55,"ناخدای کشتی 
",2
67,67,67,79,79,امين,"توسلی
",خ خدامی - کوچه لیلی - بن بست فیروز غربی,0.0,18,دکترا,"مرمت آثار تاریخی
",20,"دندان پزشک  
",8
68,68,68,80,80,رسول,"منوچهری
",خ محبوب مجاز .سینای غربی. نرسیده به اول خوش.,0.0,25,کاردانی,"ژئومورفولوژی
",19,"کارشناس سخت افزار  
",3
69,69,69,81,81,مينا,"شریفیان
",خ هلال احمر خیابان قدمی,-1.0,14,0,"-1
",55,"مهندس مکانیک
",5
